page,mode,dpi,proc,input_px,box_thr,text_thr,tile,overlap,nms_iou,tiles,raw,kept,anchors,hit,recall,clusters,clean,merged,spurious,mean_score,sec,postproc,err,overlay,tag,human_label,human_correct
8,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,145,11,1,1,1.0,11,1,0,10,0.222,9.3,grounded,,dino_lab_runs\20260920_124756\p8_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p8_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
8,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,82,9,1,1,1.0,9,1,0,8,0.248,10.3,grounded,,dino_lab_runs\20260920_124756\p8_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p8_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
8,single,300,defxdef,1236x800,0.08,0.1,,,,1,22,16,1,1,1.0,16,1,0,15,0.184,1.4,grounded,,dino_lab_runs\20260920_124756\p8_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p8_single_dpi300_box0.08_txt0.1_procDEFAULT,correct,1.0
8,single,300,defxdef,1236x800,0.12,0.1,,,,1,12,11,1,0,0.0,11,0,0,11,0.219,1.8,grounded,,dino_lab_runs\20260920_124756\p8_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p8_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
9,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,120,18,1,1,1.0,18,1,0,17,0.141,12.2,grounded,,dino_lab_runs\20260920_124756\p9_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p9_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
9,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,49,4,1,0,0.0,4,0,0,4,0.242,11.0,grounded,,dino_lab_runs\20260920_124756\p9_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p9_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
9,single,300,defxdef,1236x800,0.08,0.1,,,,1,17,13,1,0,0.0,13,0,0,13,0.16,2.6,grounded,,dino_lab_runs\20260920_124756\p9_single_dpi300_box0.08_txt0.1_procDEFAULT.jpg,p9_single_dpi300_box0.08_txt0.1_procDEFAULT,wrong,0.0
9,single,300,defxdef,1236x800,0.12,0.1,,,,1,11,10,1,0,0.0,10,0,0,10,0.179,2.8,grounded,,dino_lab_runs\20260920_124756\p9_single_dpi300_box0.12_txt0.1_procDEFAULT.jpg,p9_single_dpi300_box0.12_txt0.1_procDEFAULT,correct,1.0
10,tiled,300,defxdef,800x800,0.08,0.1,2800.0,0.2,0.45,6,144,18,2,1,0.5,18,3,0,15,0.193,13.2,grounded,,dino_lab_runs\20260920_124756\p10_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p10_tiled_dpi300_box0.08_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
10,tiled,300,defxdef,800x800,0.12,0.1,2800.0,0.2,0.45,6,68,10,2,1,0.5,10,2,0,8,0.253,10.1,grounded,,dino_lab_runs\20260920_124756\p10_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT.jpg,p10_tiled_dpi300_box0.12_txt0.1_tile2800_ov0.2_nms0.45_procDEFAULT,wrong,0.0
